Entity Name,Description,Category,Image,Link,Size,Show,Fixed,X,Y
mttmmedia,"<a href=""https://www.instagram.com/mttmmedia/""></a>

36000 followers","Anti-Trans,Anti-vaccine,Conspiracy,Anti-immigration,Overt racism,Anti-government,Pro-Conservative Party,Anti-left propoganda",,,"36,000",true,false,,
belz_iam,"<a href=""https://www.instagram.com/belz_iam/"">Politics and current events</a>

21000 followers","Anti-Trans,Conspiracy,Anti-China,""Tough on crime"",Climate change denial,MAGA,Anti-left propoganda",,,"21,000",true,false,,
conservativesikhscanada,"<a href=""https://www.instagram.com/conservativesikhscanada/"">Conservative Sikhs of Canada 🇨🇦</a>

2000 followers","""Tough on crime"",Pro-Conservative Party,Anti-left propoganda",,,"2,000",true,false,,
lifewithsonduren,"<a href=""https://www.instagram.com/lifewithsonduren/"">Everything life in Canada 🇨🇦</a>

100000 followers","Anti-Trans,""Tough on crime""",,,"100,000",true,false,,
ccfr_ccdaf,"<a href=""https://www.instagram.com/ccfr_ccdaf/"">Canada's Gun Lobby 🇨🇦</a>

58000 followers","""Tough on crime"",Anti-left propoganda",,,"58,000",true,false,,
straightouttathe6ixtv,"<a href=""https://www.instagram.com/straightouttathe6ixtv/"">🇨🇦 Culture & Entertainment</a>

393000 followers","Anti-Trans,Conspiracy,Anti-China,Anti-immigration,White identity,Overt racism,""Tough on crime""",,,"393,000",true,false,,
jasminlaine,"<a href=""https://www.instagram.com/jasminlaine/"">Host of Over Opinionated</a>

77000 followers","Christian identity,Anti-immigration,Anti-tax/Anti-regulation,Climate change denial,Pro-Conservative Party,Anti-left propoganda",,,"77,000",true,false,,
jordan.b.peterson,"<a href=""https://www.instagram.com/jordan.b.peterson/"">Clinical Psychologist Best-Selling Author</a>

9200000 followers","Anti-Trans,Conspiracy,Christian identity,White identity,Anti-tax/Anti-regulation,Climate change denial,Anti-left propoganda",,,"9,200,000",true,false,,
preta6_,"<a href=""https://www.instagram.com/preta6_/"">writer @nationalpost @newwesttimes @reduxx.mag</a>

786 followers","Anti-Trans,Conspiracy,Pro-Conservative Party,Anti-left propoganda",,,786,true,false,,
bettsnation,"<a href=""https://www.instagram.com/bettsnation/"">Boldly Exit The Traps of Society For the black sheep & freedom builders</a>

406000 followers","Anti-Trans,Anti-vaccine,Conspiracy,White identity,Anti-tax/Anti-regulation,Climate change denial,Anti-left propoganda",,,"406,000",true,false,,
shadoedavis,"<a href=""https://www.instagram.com/shadoedavis/?hl=en"">Host of “The Shadoe at Nite Livestream” weeknights at 8 Central, Truth Seeker, Question asker</a>

3100 followers","Anti-Trans,Anti-reconciliation,Anti-vaccine,Conspiracy,Anti-immigration,Overt racism,Anti-government,Climate change denial,Pro-fossil fuels industry,MAGA,Anti-left propoganda",,,"3,100",true,false,,
the_rude_awakening_tour,"<a href=""https://www.instagram.com/the_rude_awakening_tour/?hl=en"">Mefloquine advocate on the move, driving across Canada,, bring awareness to Mefloquine toxicity.</a>

2782 followers","Anti-vaccine,Conspiracy",,,"2,782",true,false,,
canadaisforsale1,"<a href=""https://www.instagram.com/canadaisforsale1/?hl=en"">Canada’s Unfiltered Truth</a>

26000 followers","Anti-Trans,Anti-vaccine,Conspiracy,Anti-immigration,White identity,Overt racism,""Tough on crime"",MAGA,Pro-Conservative Party,Anti-left propoganda",,,"26,000",true,false,,
we.unify.canada,"<a href=""https://www.instagram.com/we.unify.canada/?hl=en"">We Unify is an independent and nonpartisan volunteer organization.</a>

4500 followers","Anti-Trans,Anti-vaccine,Conspiracy,Anti-tax/Anti-regulation,Climate change denial,Pro-fossil fuels industry,Anti-left propoganda",,,"4,500",true,false,,
freedomtrainn,"<a href=""https://www.instagram.com/freedomtrainn/?hl=en"">ΜΟΛΩΝ ΛΑΒΕ Alberta First.</a>

6700 followers","Anti-Trans,Conspiracy,Alberta separatist,Anti-immigration,Anti-tax/Anti-regulation,Pro-UCP,Anti-left propoganda",,,"6,700",true,false,,
613trending,"<a href=""https://www.instagram.com/613trending/"">Ottawa and beyond</a>

164000 followers",,,,"164,000",false,false,,
montrealonly,"<a href=""https://www.instagram.com/montrealonly/"">Montreal's Guide to Food, Hotspots & Entertainment</a>

434000 followers",,,,"434,000",false,false,,
yegwave,"<a href=""https://www.instagram.com/yegwave/"">Alberta Culture & Entertainment Page 🇨🇦</a>

598000 followers",,,,"598,000",false,false,,
everythingaboutcanada0,"<a href=""https://www.instagram.com/everythingaboutcanada0/"">Your 🥇source for the best of Canada</a>

91000 followers",,,,"91,000",false,false,,
armyofgreatmen,"<a href=""https://www.instagram.com/armyofgreatmen/"">Embrace healthy masculinity, personal growth, and life's challenges.</a>

116000 followers","Anti-Trans,Alberta separatist,Anti-immigration,Climate change denial,Pro-fossil fuels industry,Anti-union,Pro-UCP,Anti-left propoganda",,,"116,000",true,false,,
realctzn,"<a href=""https://www.instagram.com/realctzn/"">𝘛𝘳𝘺𝘪𝘯𝘨 𝘵𝘰 𝘣𝘳𝘪𝘯𝘨 𝘳𝘦𝘢𝘴𝘰𝘯 𝘵𝘰 a 𝘤𝘰𝘶𝘯𝘵𝘳𝘺 𝘭𝘢𝘤𝘬𝘪𝘯𝘨 𝘳𝘦𝘢𝘴𝘰𝘯 🇨🇦</a>

5000 followers","Conspiracy,Alberta separatist,Anti-immigration,""Tough on crime"",Anti-tax/Anti-regulation,Climate change denial,Pro-fossil fuels industry,MAGA,Anti-left propoganda",,,"5,000",true,false,,
echipiuk,"<a href=""https://www.instagram.com/echipiuk/"">Lawyer ⚖️ | Entrepreneur🧘‍♀️ | Pisces 🐠</a>

9700 followers","Anti-vaccine,Conspiracy,Alberta separatist,Anti-immigration,Anti-tax/Anti-regulation,Anti-union,Pro-UCP,Anti-left propoganda",,,"9,700",true,false,,
beautifulcanada_1,"<a href=""https://www.instagram.com/beautifulcanada_1/"">True North Strong & Free, Canada First</a>

60000 followers","Anti-Trans,Conspiracy,Christian identity,Anti-China,Anti-immigration,""Tough on crime"",MAGA,Pro-Conservative Party,Anti-left propoganda",,,"60,000",true,false,,
mrscurator,"<a href=""https://www.instagram.com/mrscurator/"">DR, PHD of making true observations Using AI</a>

19000 followers","Anti-Trans,Anti-vaccine,Conspiracy,Anti-immigration,White identity,Overt racism,""Tough on crime"",Anti-tax/Anti-regulation,Climate change denial,Anti-left propoganda",,,"19,000",true,false,,
forcanada2025,"<a href=""https://www.instagram.com/forcanada2025/"">Join our community for $6.99/month. Funds help us grow, cancel anytime, posts will remain public.</a>

86000 followers",,,,"86,000",false,false,,
