Entity Name,Description,Category,Image,Link,Size,Show,Fixed,X,Y
albertanpatriot,"<a href=""https://www.instagram.com/albertanpatriot/"">Defend the West</a>

10600 followers","Conspiracy,Alberta separatist,Anti-immigration,Overt racism,""Tough on crime"",Anti-left propoganda",,,"10,600",true,false,,
truckingforfreedom,"<a href=""https://www.instagram.com/truckingforfreedom/"">Docuseries built by Canadian creatives | Revealing the factual story of the Freedom Convoy</a>

23000 followers","Anti-vaccine,Conspiracy,Anti-government",,,"23,000",true,false,,
justicecentre,"<a href=""https://www.instagram.com/justicecentre/"">The Justice Centre is a registered charity dedicated to defending the constitutional freedoms of all Canadians</a>

6800 followers",,,,"6,800",false,false,,
leadersonthefrontier,"<a href=""https://www.instagram.com/leadersonthefrontier/"">Discussions of common sense and good governance from a non-partisan, cutting-edge think tank.</a>

1200 followers","Anti-reconciliation,Conspiracy,Christian identity,Anti-immigration,Anti-tax/Anti-regulation,Climate change denial,Pro-fossil fuels industry,Anti-left propoganda",,,"1,200",true,false,,
flipcanadablue,"<a href=""https://www.instagram.com/flipcanadablue/"">Going to save Canada🇨🇦 by promoting conservative values. Wear your heart in public #FlipCanadaBlue</a>

11800 followers","Anti-Trans,Conspiracy,Christian identity,Anti-immigration,""Tough on crime"",Anti-tax/Anti-regulation,Pro-Conservative Party,Anti-left propoganda",,,"11,800",true,false,,
canadaareweok,"<a href=""https://www.instagram.com/canadaareweok/"">Canada are we ok?</a>

98000 followers","Anti-Trans,Conspiracy,Anti-immigration,Overt racism,""Tough on crime"",Anti-left propoganda",,,"98,000",true,false,,
cdnconfoundation,"<a href=""https://www.instagram.com/cdnconfoundation/"">Legal charity dedicated to defending rights and freedoms.</a>

2800 followers","Conspiracy,Anti-government",,,"2,800",true,false,,
marcusterritory,"<a href=""https://www.instagram.com/marcusterritory/""></a>

43000 followers","Pro-LGBTQ rights,Anti-right propoganda",,,"43,000",true,false,,
grahamistearingup,"<a href=""https://www.instagram.com/grahamistearingup/"">Interne Culture, Media, and Politics.</a>

2700 followers","Anti-MAGA,Anti-misinformation",,,"2,700",true,false,,
nowthatscanadian,"<a href=""https://www.instagram.com/nowthatscanadian/"">Celebrating everything Canadian!</a>

215000 followers","Pro-Liberal Party,Anti-MAGA,Anti-right propoganda",,,"215,000",true,false,,
yukonsblackcomedian,"<a href=""https://www.instagram.com/yukonsblackcomedian/"">I tell jokes make music and cook the dankest food.</a>

39000 followers","Pro-Liberal Party,Pro-Indigenous rights,Pro-LGBTQ rights,Anti-racism,Anti-corporate,Pro-worker,Anti-MAGA,Anti-right propoganda",,,"39,000",true,false,,
adamsusser,"<a href=""https://www.instagram.com/adamsusser/"">Comedian</a>

31000 followers",,,,"31,000",true,false,,
604raw,"<a href=""https://www.instagram.com/604raw/"">#1 In Vancouver Lifestyle & Culture 🇨🇦</a>

53000 followers","""Tough on crime""",,,"53,000",true,false,,
meanwhileincanada1,"<a href=""https://www.instagram.com/meanwhileincanada1/"">Looking at the lighter side of life in Canada and Canadian politics.</a>

31000 followers","Pro-Liberal Party,Anti-MAGA,Anti-right propoganda",,,"31,000",true,false,,
krassensteins,"<a href=""https://www.instagram.com/krassensteins/"">Journalists, Investors, Fathers, Husbands</a>

124000 followers","Conspiracy,Anti-MAGA,Anti-right propoganda",,,"124,000",true,false,,
_spokemedia,"<a href=""https://www.instagram.com/_spokemedia/"">Deep dives into Canadian issues you should care about.</a>

621 followers","Anti-fossil fuels,Pro-worker,Anti-MAGA,Anti-misinformation,Anti-right propoganda",,,621,true,false,,
oilsandsaction,"<a href=""https://www.instagram.com/oilsandsaction/"">We share facts + positivity about 🇨🇦 oil & gas.</a>

30000 followers","Conspiracy,Anti-tax/Anti-regulation,Pro-fossil fuels industry,Corporate propoganda",,,"30,000",true,false,,
lngaction,"<a href=""https://www.instagram.com/lngaction/"">Supporting the development of Canada’s liquefied natural gas (LNG) sector</a>

108 followers","Conspiracy,Anti-tax/Anti-regulation,Pro-fossil fuels industry,Corporate propoganda",,,108,true,false,,
canadaaction,"<a href=""https://www.instagram.com/canadaaction/"">Canada’s natural resources are the foundation of our national economy and quality of life.</a>

37800 followers","Conspiracy,Anti-tax/Anti-regulation,Pro-fossil fuels industry,Corporate propoganda",,,"37,800",true,false,,
greatnortherndiscussions,"<a href=""https://www.instagram.com/greatnortherndiscussions/"">Western🇨🇦Podcast🎙️| CLIPS PAGE | A Passion for Defending Western Interests | Energy</a>

14200 followers","Anti-Trans,Anti-reconciliation,Anti-vaccine,Conspiracy,Alberta separatist,Anti-government,Anti-tax/Anti-regulation,Climate change denial,Pro-fossil fuels industry,Anti-union,Anti-left propoganda,Corporate propoganda",,,"14,200",true,false,,
indigenousresourcenetwork,"<a href=""https://www.instagram.com/indigenousresourcenetwork/"">A network for Indigenous workers & leaders who support Indigenous involvement in natural resource development🇨🇦</a>

1700 followers","Pro-fossil fuels industry,Corporate propoganda",,,"1,700",true,false,,
conocophillips,"<a href=""https://www.instagram.com/conocophillips/"">We are a global oil and gas company tasked with an important job - to safely find and deliver energy for the world</a>

41000 followers","Pro-fossil fuels industry,Corporate propoganda",,,"41,000",true,false,,
shifthitfan,"<a href=""https://www.instagram.com/shifthitfan/"">Awake. Not woke. ✝️🇨🇦</a>

2173 followers","Anti-Trans,Conspiracy,Alberta separatist,Anti-China,Overt racism,""Tough on crime"",MAGA,Pro-Conservative Party,Anti-left propoganda",,,"2,173",true,false,,
nvancaroline,"<a href=""https://www.instagram.com/nvancaroline/"">Mum, hiker, cyclist, North Shore enthusiast. PhD in democratic things. Commentator on political things.</a>

9000 followers","Anti-reconciliation,""Tough on crime"",Anti-tax/Anti-regulation,Anti-left propoganda",,,"9,000",true,false,,
rtntoronto,"<a href=""https://www.instagram.com/rtntoronto/"">Content across the Greater Toronto Area 🇨🇦</a>

300000 followers","""Tough on crime"",Anti-left propoganda",,,"300,000",true,false,,
karishmaclimategirl,"<a href=""https://www.instagram.com/karishmaclimategirl/"">Climate storyteller</a>

120000 followers","Pro-environment,Anti-fossil fuels,Anti-corporate",,,"120,000",true,false,,
naomiaklein,"<a href=""https://www.instagram.com/naomiaklein/"">Doppelganger. This Changes Everything. The Shock Doctrine. No Logo. On Fire.</a>

128000 followers","Anti-racism,Pro-environment,Anti-fossil fuels,Anti-corporate,Pro-worker,Anti-MAGA,Anti-misinformation",,,"128,000",true,false,,
changecourse_ca,"<a href=""https://www.instagram.com/changecourse_ca/?hl=en"">A youth-led movement ushering in the end of fossil fuel financing</a>

5500 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels,Anti-corporate,Pro-worker,Anti-MAGA,Anti-misinformation",,,"5,500",true,false,,
catabreu_,"<a href=""https://www.instagram.com/catabreu_/?hl=en"">Climate action is my love language</a>

1871 followers","Pro-environment,Anti-fossil fuels,Anti-corporate,Pro-worker",,,"1,871",true,false,,
mike_hudema,"<a href=""https://www.instagram.com/mike_hudema/?hl=en"">Comms Director with @canopyplanet</a>

3700 followers","Pro-environment,Anti-fossil fuels",,,"3,700",true,false,,
canopyplanet,"<a href=""https://www.instagram.com/canopyplanet/?hl=en"">Canopy is an award winning environmental not-for-profit organization</a>

31800 followers",Pro-environment,,,"31,800",true,false,,
pacificwild,"<a href=""https://www.instagram.com/pacificwild/?hl=en"">Conservation for the Great Bear Rainforest and beyond.</a>

154000 followers",Pro-environment,,,"154,000",true,false,,
sierraclubbc,"<a href=""https://www.instagram.com/sierraclubbc/?hl=en"">Nonprofit organization</a>

19500 followers",Pro-environment,,,"19,500",true,false,,
thenarwhalca,"<a href=""https://www.instagram.com/thenarwhalca/?hl=en"">Media/news company</a>

25000 followers","Pro-environment,Anti-fossil fuels",,,"25,000",true,false,,
thenarwhalexplains,"<a href=""https://www.instagram.com/thenarwhalexplains/?hl=en"">Educational videos from The Narwhal’s audience team</a>

565 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels,Anti-misinformation",,,565,true,false,,
desmognews,"<a href=""https://www.instagram.com/desmognews/?hl=en"">Clearing the PR pollution that clouds climate science</a>

1968 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels,Anti-corporate,Pro-worker,Anti-MAGA,Anti-misinformation",,,"1,968",true,false,,
cewilhelmson,"<a href=""https://www.instagram.com/cewilhelmson/?hl=en"">Vancouverite with passion for social change, arts & food.</a>

625 followers","Pro-environment,Anti-misinformation",,,625,true,false,,
landneedsguardians,"<a href=""https://www.instagram.com/landneedsguardians/?hl=en"">A movement growing up from the land and generating long-term support</a>

37000 followers","Pro-Indigenous rights,Pro-environment",,,"37,000",true,false,,
indigenousleadershipinitiative,"<a href=""https://www.instagram.com/indigenousleadershipinitiative/?hl=en"">Strengthening Indigenous leadership on the land and advancing Indigenous-led conservation initiatives across Canada.</a>

11000 followers","Pro-Indigenous rights,Pro-environment",,,"11,000",true,false,,
natureunitedcanada,"<a href=""https://www.instagram.com/natureunitedcanada/?hl=en"">Reimagining conservation in Canada</a>

4600 followers","Pro-Indigenous rights,Pro-environment",,,"4,600",true,false,,
naturecanada_,"<a href=""https://www.instagram.com/naturecanada_/?hl=en"">We're one of Canada's oldest nature conservation charities.</a>

37500 followers",Pro-environment,,,"37,500",true,false,,
climateseniors,"<a href=""https://www.instagram.com/climateseniors/?hl=en""></a>

1300 followers","Pro-environment,Anti-fossil fuels,Anti-corporate,Pro-worker,Anti-misinformation",,,"1,300",true,false,,
350canada,"<a href=""https://www.instagram.com/350canada/?hl=en"">We’re tackling corporate greed and the climate crisis. Let’s build a liveable future for All of Us.</a>

22000 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels,Anti-corporate,Pro-worker,Anti-misinformation,Anti-right propoganda",,,"22,000",true,false,,
canraccanada,"<a href=""https://www.instagram.com/canraccanada/?hl=en""></a>

5800 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels,Pro-worker",,,"5,800",true,false,,
shakeuptheestab,"<a href=""https://www.instagram.com/shakeuptheestab/?hl=en"">Youth-led nonprofit promoting climate justice & political action in what is currently Canada</a>

5700 followers","Pro-Indigenous rights,Anti-racism,Pro-environment",,,"5,700",true,false,,
melina_miyowapan,"<a href=""https://www.instagram.com/melina_miyowapan/?hl=en"">Nehiyaw/Cree Nation+</a>

10000 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels",,,"10,000",true,false,,
sacredearthorg,"<a href=""https://www.instagram.com/sacredearthorg/?hl=en"">Advancing an Indigenous-led Just Transition</a>

1600 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels",,,"1,600",true,false,,
stand.earth,"<a href=""https://www.instagram.com/stand.earth/?hl=en"">Stand for the people and places you love</a>

46000 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels,Anti-corporate,Anti-MAGA,Anti-misinformation",,,"46,000",true,false,,
scientistrebellionturtleisland,"<a href=""https://www.instagram.com/scientistrebellionturtleisland/?hl=en"">Scientists & allies in the so-called US & Canada willing to tell the truth & take action on behalf of the planet</a>

3336 followers","Pro-Indigenous rights,Anti-racism,Pro-environment,Anti-fossil fuels,Anti-corporate,Anti-MAGA,Anti-misinformation",,,"3,336",true,false,,
indigenousclimateaction,"<a href=""https://www.instagram.com/indigenousclimateaction/?hl=en"">Indigenous Climate Justice</a>

90000 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels",,,"90,000",true,false,,
climateemergencyunit,"<a href=""https://www.instagram.com/climateemergencyunit/?hl=en"">Mobilizing Canada for the climate emergency</a>

2100 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels,Pro-worker",,,"2,100",true,false,,
indigclnenergy,"<a href=""https://www.instagram.com/indigclnenergy/?hl=en"">ICE is a non-profit, community driven organization working collaboratively to advance Indigenous leadership</a>

3000 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels",,,"3,000",true,false,,
wellingtonwaterwatchers,"<a href=""https://www.instagram.com/wellingtonwaterwatchers/?hl=en"">Empowering people to work in solidarity towards social justice through the unifying lens of water</a>

4300 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels",,,"4,300",true,false,,
pttp.tv,"<a href=""https://www.instagram.com/pttp.tv/?hl=en"">Docuseries on the #Indigenous-led #cleanenergy revolution in 🇨🇦</a>

1095 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels",,,"1,095",true,false,,
raven_trust,"<a href=""https://www.instagram.com/raven_trust/?hl=en"">Working with Indigenous Nations to defend their land, water, rights and culture with access to the courts by raising</a>

30000 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels",,,"30,000",true,false,,
_spokemedia,"<a href=""https://www.instagram.com/_spokemedia/"">Deep dives into Canadian issues you should care about.</a>

575 followers",,,,575,false,false,,
drmelissalem,"<a href=""https://www.instagram.com/drmelissalem/"">Past President @cape_doctors</a>

1921 followers","Pro-environment,Anti-misinformation",,,"1,921",true,false,,
sierraclubcanada,"<a href=""https://www.instagram.com/sierraclubcanada/"">Sierra Club Canada Foundation empowers people</a>

2100 followers","Pro-environment,Anti-fossil fuels,Anti-misinformation",,,"2,100",true,false,,
wildernesscommittee,"<a href=""https://www.instagram.com/wildernesscommittee/"">Education & action for nature, wildlife & climate in Canada</a>

2700 followers","Pro-environment,Anti-fossil fuels,Anti-corporate,Anti-misinformation,Anti-right propoganda",,,"2,700",true,false,,
wildlandsleague,"<a href=""https://www.instagram.com/wildlandsleague/"">Conservation charity protecting irreplaceable wilderness</a>

1800 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels,Anti-misinformation",,,"1,800",true,false,,
canadiansorg,"<a href=""https://www.instagram.com/canadiansorg/"">Challenging corporate power + holding governments accountable for</a>

9500 followers","Pro-Indigenous rights,Pro-environment,Anti-fossil fuels,Anti-corporate,Pro-worker,Anti-misinformation",,,"9,500",true,false,,
envirodefence,"<a href=""https://www.instagram.com/envirodefence/"">Defending clean water, a safe climate, and healthy communities</a>

32500 followers","Pro-environment,Anti-fossil fuels,Anti-misinformation,Anti-right propoganda",,,"32,500",true,false,,
severncullissuzuki,"<a href=""https://www.instagram.com/severncullissuzuki/"">Activist for intergenerational justice, language and ecological diversity.</a>

29000 followers","Pro-Indigenous rights,Pro-environment",,,"29,000",true,false,,
centreforclimatejustice,"<a href=""https://www.instagram.com/centreforclimatejustice/"">Advancing urgent community-engaged research & interdisciplinary collaboration to address the climate crisis</a>

3800 followers","Pro-environment,Anti-fossil fuels,Anti-misinformation",,,"3,800",true,false,,
commonhorizoncommun,"<a href=""https://www.instagram.com/commonhorizoncommun/"">Young workers in Canada taking on corporate greed and fighting for climate and affordability solutions.</a>

6500 followers","Pro-environment,Anti-fossil fuels,Anti-corporate,Pro-worker,Anti-misinformation,Anti-right propoganda",,,"6,500",true,false,,
reality_climatique_canada,"<a href=""https://www.instagram.com/reality_climatique_canada/"">Mobilization & education for community-led #ClimateAction</a>

1600 followers",,,,"1,600",true,false,,
regeneration.ca,"<a href=""https://www.instagram.com/regeneration.ca/"">Empowering the next generation of leaders to re•think how the economy can support human and ecological well-being.</a>

2500 followers","Pro-environment,Anti-fossil fuels,Anti-corporate,Pro-worker,Anti-MAGA,Anti-misinformation,Anti-right propoganda",,,"2,500",true,false,,
youthclimatelab,"<a href=""https://www.instagram.com/youthclimatelab/"">We enable and mobilize youth to co-create a just, climate resilient future</a>

8000 followers",Pro-environment,,,"8,000",true,false,,
climateactionmb,"<a href=""https://www.instagram.com/climateactionmb/"">Coalition of orgs working on advancing climate action and affordability in Manitoba</a>

3100 followers","Pro-environment,Anti-fossil fuels,Anti-misinformation",,,"3,100",true,false,,
bc_cape,"<a href=""https://www.instagram.com/bc_cape/"">BC committee of @cape_doctors,</a>

584 followers","Pro-environment,Anti-fossil fuels,Anti-misinformation",,,584,true,false,,
greencommunitiescan,"<a href=""https://www.instagram.com/greencommunitiescan/"">We support grassroots-led climate action through leadership, connection, training, and funding.</a>

1600 followers",Pro-environment,,,"1,600",true,false,,
Anti-Trans,,Anti-Trans,,,108,true,false,,
Anti-reconciliation,,Anti-reconciliation,,,108,true,false,,
Anti-vaccine,,Anti-vaccine,,,108,true,false,,
Conspiracy,,Conspiracy,,,108,true,false,,
Christian identity,,Christian identity,,,108,true,false,,
Alberta separatist,,Alberta separatist,,,108,true,false,,
Anti-China,,Anti-China,,,108,true,false,,
Anti-immigration,,Anti-immigration,,,108,true,false,,
White identity,,White identity,,,108,true,false,,
Overt racism,,Overt racism,,,108,true,false,,
"""Tough on crime""",,"""Tough on crime""",,,108,true,false,,
Anti-government,,Anti-government,,,108,true,false,,
Anti-tax/Anti-regulation,,Anti-tax/Anti-regulation,,,108,true,false,,
Climate change denial,,Climate change denial,,,108,true,false,,
Pro-fossil fuels industry,,Pro-fossil fuels industry,,,108,true,false,,
Anti-union,,Anti-union,,,108,true,false,,
MAGA,,MAGA,,,108,true,false,,
Pro-Conservative Party,,Pro-Conservative Party,,,108,true,false,,
Pro-UCP,,Pro-UCP,,,108,true,false,,
Anti-left propoganda,,Anti-left propoganda,,,108,true,false,,
Corporate propoganda,,Corporate propoganda,,,108,true,false,,
Pro-Liberal Party,,Pro-Liberal Party,,,108,true,false,,
Pro-Indigenous rights,,Pro-Indigenous rights,,,108,true,false,,
Pro-LGBTQ rights,,Pro-LGBTQ rights,,,108,true,false,,
Anti-racism,,Anti-racism,,,108,true,false,,
Pro-environment,,Pro-environment,,,108,true,false,,
Anti-fossil fuels,,Anti-fossil fuels,,,108,true,false,,
Anti-corporate,,Anti-corporate,,,108,true,false,,
Pro-worker,,Pro-worker,,,108,true,false,,
Anti-MAGA,,Anti-MAGA,,,108,true,false,,
Anti-misinformation,,Anti-misinformation,,,108,true,false,,
Pro-NDP,,Pro-NDP,,,108,true,false,,
Anti-right propoganda,,Anti-right propoganda,,,108,true,false,,
